Outcome of investigation,Activity,Total Count,Vic.,Affected Count
Investigation not finalised,Homicide and related offences(c),49,50.0,24.5
Total finalised,Homicide and related offences(c),55,56.1,30.855
Investigation finalised - no offender proceeded against,Homicide and related offences(c),0,0.0,0
Investigation finalised - offender proceeded against,Homicide and related offences(c),49,50.0,24.5
Investigation not finalised,Murder,31,47.7,14.787
Total finalised,Murder,30,46.2,13.86
Investigation finalised - no offender proceeded against,Murder,0,0.0,0
Investigation finalised - offender proceeded against,Murder,29,44.6,12.934
Investigation not finalised,Attempted murder,11,61.1,6.721
Total finalised,Attempted murder,6,33.3,1.998
Investigation finalised - no offender proceeded against,Attempted murder,0,0.0,0
Investigation finalised - offender proceeded against,Attempted murder,7,38.9,2.723
Investigation not finalised,Sexual assault,"3,527",64.0,2257.28
Total finalised,Sexual assault,"1,986",36.0,714.96
Investigation finalised - no offender proceeded against,Sexual assault,"1,062",19.3,204.966
Investigation finalised - offender proceeded against,Sexual assault,918,16.7,153.306
Investigation not finalised,Kidnapping/abduction(f),82,57.7,47.314
Total finalised,Kidnapping/abduction(f),55,38.7,21.285
Investigation finalised - no offender proceeded against,Kidnapping/abduction(f),3,2.1,0.063
Investigation finalised - offender proceeded against,Kidnapping/abduction(f),46,32.4,14.904
Investigation not finalised,Robbery,"1,874",68.9,1291.186
Total finalised,Robbery,843,31.0,261.33
Investigation finalised - no offender proceeded against,Robbery,62,2.3,1.426
Investigation finalised - offender proceeded against,Robbery,777,28.6,222.222
Investigation not finalised,Armed robbery,"1,018",67.5,687.15
Total finalised,Armed robbery,487,32.3,157.301
Investigation finalised - no offender proceeded against,Armed robbery,29,1.9,0.551
Investigation finalised - offender proceeded against,Armed robbery,458,30.4,139.232
Investigation not finalised,Unarmed robbery,854,70.8,604.632
Total finalised,Unarmed robbery,355,29.4,104.37
Investigation finalised - no offender proceeded against,Unarmed robbery,33,2.7,0.891
Investigation finalised - offender proceeded against,Unarmed robbery,320,26.5,84.8
Investigation not finalised,Blackmail/extortion,158,79.8,126.084
Total finalised,Blackmail/extortion,42,21.2,8.904
Investigation finalised - no offender proceeded against,Blackmail/extortion,0,0.0,0
Investigation finalised - offender proceeded against,Blackmail/extortion,35,17.7,6.195
Investigation not finalised,Unlawful entry with intent,"28,739",91.9,26411.141
Total finalised,Unlawful entry with intent,"2,548",8.1,206.388
Investigation finalised - no offender proceeded against,Unlawful entry with intent,90,0.3,0.27
Investigation finalised - offender proceeded against,Unlawful entry with intent,"2,462",7.9,194.498
Investigation not finalised,Unlawful entry with intent - Involving the taking of property(g),"18,955",93.3,17685.015
Total finalised,Unlawful entry with intent - Involving the taking of property(g),"1,363",6.7,91.321
Investigation finalised - no offender proceeded against,Unlawful entry with intent - Involving the taking of property(g),40,0.2,0.08
Investigation finalised - offender proceeded against,Unlawful entry with intent - Involving the taking of property(g),"1,318",6.5,85.67
Investigation not finalised,Unlawful entry with intent - Other,"9,789",89.2,8731.788
Total finalised,Unlawful entry with intent - Other,"1,187",10.8,128.196
Investigation finalised - no offender proceeded against,Unlawful entry with intent - Other,47,0.4,0.188
Investigation finalised - offender proceeded against,Unlawful entry with intent - Other,"1,140",10.4,118.56
Investigation not finalised,Motor vehicle theft,"11,647",86.8,10109.596
Total finalised,Motor vehicle theft,"1,769",13.2,233.508
Investigation finalised - no offender proceeded against,Motor vehicle theft,121,0.9,1.089
Investigation finalised - offender proceeded against,Motor vehicle theft,"1,643",12.3,202.089
Investigation not finalised,Other theft,"102,125",90.0,91912.5
Total finalised,Other theft,"11,312",10.0,1131.2
Investigation finalised - no offender proceeded against,Other theft,460,0.4,1.84
Investigation finalised - offender proceeded against,Other theft,"10,856",9.6,1042.176
